-----BEGIN METADATA-----
RESOURCE ID= 36
OID SYSTEM = urn:ietf:rfc:3986
OID VALUE = urn:oid:2.16.840.1.113883.5.1
URL = http://terminology.hl7.org/CodeSystem/v3-AdministrativeGender
VERSION = 2.1.0
NAME = AdministrativeGender
CONTENT = Fragment
DATE = Wed Mar 20 00:00:00 CET 2019
-----END METADATA-----

CODE|DISPLAY|ISA
F|Female|
M|Male|
UN|Undifferentiated|
